success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,participant_id,screen_width,screen_height,is_mobile,age,gender,ai_use_frequency,ai_detection_experience,rt,stimulus,response,save_trial,trial_id,block,target_origin,set_size,target_present,cue_image,composite_image,target_position,correct_key,repetition,is_practice,no_response,correct,trial_index_global,true_origin,filename,realism_rating,classification_response,classification_correct
true,false,[],[],[],preload,0,7387,0.0-0.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,1,8736,0.0-1.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,1347,"<div class=""box""><h2>Информация об исследовании</h2><p>Вы приглашены принять участие в научном исследовании, посвящённом особенностям зрительного восприятия.</p><p>Участие <strong>анонимно и добровольно</strong>. Вы можете прекратить в любой момент.</p><p>Эксперимент займёт около <strong>10–15 минут</strong>.</p><p>Данные используются исключительно в учебно-научных целях (курсовая работа, НИУ ВШЭ).</p></div>",0,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,2,27724,0.0-2.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,18986,"<div class=""box""><h2>Перед началом</h2><ul><li>Вы за <strong>компьютером или ноутбуком</strong></li><li>Клавиши <strong>←</strong> и <strong>→</strong> доступны</li><li>Браузер развёрнут <strong>на весь экран</strong> (F11)</li><li>Экран на расстоянии <strong>вытянутой руки</strong></li><li>Есть <strong>10–15 минут</strong> в тишине без отвлечений</li></ul></div>",0,,,,,,,,,,,,,,,,,,,,
,,,,,survey-html-form,3,51442,0.0-3.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,23715,,"{""age"":""18"",""gender"":""female"",""device"":""desktop"",""ai_use_frequency"":""4"",""ai_detection_experience"":""3""}",,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,4,82987,0.0-4.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,31543,"<div class=""box""><h2>Задача</h2><p>В каждой пробе сначала появится <strong>одно лицо</strong>. Его нужно запомнить.</p><p>Затем появится набор из нескольких лиц. Ваша задача — определить, было ли запомненное лицо в этом наборе.</p><div class=""keys""><div class=""key"">←<span>лица НЕ БЫЛО</span></div><div class=""key"">→<span>лицо БЫЛО</span></div></div><p>Держите пальцы на клавишах <strong>←</strong> и <strong>→</strong>.</p><p><strong>Важно:</strong> в начале каждой пробы — фиксационный крест (+). Смотрите на него и <strong>не двигайте глазами</strong> до появления набора. Отвечайте как можно быстрее.</p><p>Если ответ не дан в течение 5 секунд — проба завершится автоматически.</p><p>Сначала — несколько тренировочных проб с обратной связью.</p></div>",0,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,5,83496,0.0-5.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""font-size:60px;color:#fff;margin:0"">+</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,6,85013,0.0-6.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<div style=""text-align:center""><p style=""color:#fff;font-size:18px;margin-bottom:12px"">Запомните это лицо</p><img src=""ai_001.png"" style=""width:256px;height:256px;object-fit:contain;border:3px solid #fff;border-radius:4px;background:#808080""></div>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,7,85522,0.0-7.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,8,88119,0.0-8.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,2595,"<div style=""text-align:center""><img src=""ff_v4_035.png"" style=""max-width:90vw;max-height:72vh;display:block;margin:0 auto""><p style=""color:#fff;font-size:18px;margin-top:16px"">Было ли запомненное лицо в наборе?</p><div class=""keys"" style=""margin-top:12px""><div class=""key"">←<span>НЕ БЫЛО</span></div><div class=""key"">→<span>БЫЛО</span></div></div></div>",arrowleft,true,ff_035,face_face,ai,8,false,ai_001.png,ff_v4_035.png,,arrowleft,1,true,false,true,9,,,,,
,,,,,html-keyboard-response,9,88921,0.0-9.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p class=""fb-yes"">Верно</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,10,89433,0.0-10.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,11,89940,0.0-11.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""font-size:60px;color:#fff;margin:0"">+</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,12,91447,0.0-12.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<div style=""text-align:center""><p style=""color:#fff;font-size:18px;margin-bottom:12px"">Запомните это лицо</p><img src=""ai_004.png"" style=""width:256px;height:256px;object-fit:contain;border:3px solid #fff;border-radius:4px;background:#808080""></div>",null,,,,,,,,,,,,,,,,,,,,
